  Lines           Copies        Function name
       92 (0.0%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
       92 (0.0%)      2 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::clone::Clone>::clone
       92 (0.0%)      2 (0.0%)  alloc::sync::Arc<T>::into_raw
       92 (0.0%)      1 (0.0%)  parking_lot::raw_rwlock::RawRwLock::try_lock_shared_fast
       91 (0.0%)      1 (0.0%)  <ra_tt::ExpansionError as core::clone::Clone>::clone
       91 (0.0%)      1 (0.0%)  ra_prof::hprof::Profiler::detail
       90 (0.0%)      3 (0.0%)  <ra_hir_def::AssocItemLoc<N> as core::fmt::Debug>::fmt
       90 (0.0%)      1 (0.0%)  <ra_hir_def::path::ImportAlias as core::cmp::PartialEq>::eq
       90 (0.0%)      1 (0.0%)  <ra_hir_def::type_ref::TypeBound as core::cmp::PartialEq>::eq
       90 (0.0%)      1 (0.0%)  <ra_hir_def::visibility::RawVisibility as core::cmp::PartialEq>::eq
       90 (0.0%)      1 (0.0%)  <ra_ssr::matching::PatternIterator as core::iter::traits::iterator::Iterator>::next
       90 (0.0%)      1 (0.0%)  alloc::vec::Vec<T>::into_boxed_slice
       90 (0.0%)      1 (0.0%)  core::option::Option<T>::get_or_insert_with
       89 (0.0%)      4 (0.0%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
       88 (0.0%)     44 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::deref::Deref>::deref
       88 (0.0%)     44 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::deref::DerefMut>::deref_mut
       87 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::MacroCall as core::cmp::PartialEq>::eq
       87 (0.0%)      1 (0.0%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
       87 (0.0%)      1 (0.0%)  core::fmt::builders::DebugSet::entries
       86 (0.0%)      1 (0.0%)  <chalk_ir::Scalar as core::hash::Hash>::hash
       86 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::AttrOwner as core::hash::Hash>::hash
       85 (0.0%)     17 (0.0%)  hashbrown::rustc_entry::RustcOccupiedEntry<K,V>::get
       85 (0.0%)      1 (0.0%)  text_size::range::TextRange::checked_sub
       84 (0.0%)      4 (0.0%)  <<alloc::vec::IntoIter<T> as core::ops::drop::Drop>::drop::DropGuard<T> as core::ops::drop::Drop>::drop
       84 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Import as core::cmp::PartialEq>::eq
       84 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ModKind as core::cmp::PartialEq>::eq
       83 (0.0%)      1 (0.0%)  rowan::cursor::SyntaxNode::first_token
       82 (0.0%)      1 (0.0%)  <ra_hir_def::visibility::Visibility as core::cmp::PartialEq>::eq
       82 (0.0%)      1 (0.0%)  <smol_str::Repr as core::clone::Clone>::clone
       81 (0.0%)      3 (0.0%)  <ra_hir_def::AssocItemLoc<N> as core::clone::Clone>::clone
       81 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Impl as core::cmp::PartialEq>::eq
       81 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Trait as core::cmp::PartialEq>::eq
       81 (0.0%)      1 (0.0%)  core::str::SplitInternal<P>::get_end
       80 (0.0%)      6 (0.0%)  core::iter::adapters::Map<I,F>::new
       80 (0.0%)      1 (0.0%)  <ra_ssr::SsrPattern as core::fmt::Debug>::fmt
       79 (0.0%)      1 (0.0%)  rowan::cursor::SyntaxNode::preorder_with_tokens
       78 (0.0%)      2 (0.0%)  core::option::Option<T>::expect
       78 (0.0%)      1 (0.0%)  <ra_hir_def::body::BodySourceMap as core::cmp::PartialEq>::eq
       78 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Struct as core::cmp::PartialEq>::eq
       78 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::TypeAlias as core::cmp::PartialEq>::eq
       77 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::edits_for_file
       77 (0.0%)      1 (0.0%)  ra_ssr::parsing::NodeKind::from
       75 (0.0%)     75 (0.2%)  <core::slice::Iter<T> as core::iter::adapters::zip::TrustedRandomAccess>::may_have_side_effect
       74 (0.0%)      1 (0.0%)  <ra_hir_def::AdtId as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_hir_def::AssocContainerId as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_hir_def::DefWithBodyId as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_hir_def::VariantId as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::CallableDef as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::TyDefId as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  <ra_tt::Leaf as core::hash::Hash>::hash
       74 (0.0%)      1 (0.0%)  crossbeam_utils::backoff::Backoff::snooze
       73 (0.0%)      6 (0.0%)  core::ops::function::FnMut::call_mut
       73 (0.0%)      1 (0.0%)  <ra_tt::Leaf as core::clone::Clone>::clone
       73 (0.0%)      1 (0.0%)  core::str::SplitInternal<P>::next
       72 (0.0%)     24 (0.1%)  hashbrown::raw::RawTable<T>::len
       71 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_record_field_list::{{closure}}
       70 (0.0%)     10 (0.0%)  core::slice::<impl core::iter::traits::collect::IntoIterator for &[T]>::into_iter
       70 (0.0%)      2 (0.0%)  <std::collections::hash::set::HashSet<T,S> as core::cmp::PartialEq>::eq
       70 (0.0%)      1 (0.0%)  <chalk_ir::GenericArgData<I> as core::hash::Hash>::hash
       70 (0.0%)      1 (0.0%)  <chalk_ir::WhereClause<I> as core::hash::Hash>::hash
       70 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroCallKind as core::clone::Clone>::clone
       70 (0.0%)      1 (0.0%)  core::ptr::swap_nonoverlapping_bytes
       69 (0.0%)     23 (0.1%)  <ra_arena::Idx<T> as core::cmp::PartialEq>::eq
       69 (0.0%)      5 (0.0%)  core::option::Option<T>::is_some
       69 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Constraint as core::fmt::Debug>::fmt
       69 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Placeholder as core::clone::Clone>::clone
       68 (0.0%)     17 (0.0%)  std::collections::hash::map::OccupiedEntry<K,V>::get
       68 (0.0%)      5 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::insert
       68 (0.0%)      1 (0.0%)  <ra_ssr::parsing::PatternElement as core::fmt::Debug>::fmt
       68 (0.0%)      1 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::fmt::Debug>::fmt
       68 (0.0%)      1 (0.0%)  rowan::api::<impl core::convert::From<rowan::utility_types::NodeOrToken<rowan::cursor::SyntaxNode,rowan::cursor::SyntaxToken>> for rowan::utility_types::NodeOrToken<rowan::api::SyntaxNode<L>,rowan::api::SyntaxToken<L>>>::from
       67 (0.0%)      5 (0.0%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
       67 (0.0%)      1 (0.0%)  <chalk_ir::VariableKind<I> as core::hash::Hash>::hash
       67 (0.0%)      1 (0.0%)  <ra_hir_def::builtin_type::BuiltinType as core::hash::Hash>::hash
       67 (0.0%)      1 (0.0%)  <ra_hir_expand::EagerCallLoc as core::clone::Clone>::clone
       66 (0.0%)     22 (0.0%)  <ra_arena::Idx<T> as core::hash::Hash>::hash
       66 (0.0%)     22 (0.0%)  core::ptr::mut_ptr::<impl *mut T>::copy_from_nonoverlapping
       66 (0.0%)     22 (0.0%)  hashbrown::raw::Bucket<T>::as_mut
       66 (0.0%)      6 (0.0%)  <&alloc::vec::Vec<T> as core::iter::traits::collect::IntoIterator>::into_iter
       66 (0.0%)      2 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<&T,core::slice::Iter<T>>>::spec_extend
       66 (0.0%)      2 (0.0%)  <core::iter::adapters::Copied<I> as core::iter::traits::iterator::Iterator>::try_fold
       66 (0.0%)      2 (0.0%)  <ra_syntax::Parse<T> as core::cmp::PartialEq>::eq
       66 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ExternCrate as core::cmp::PartialEq>::eq
       66 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Static as core::cmp::PartialEq>::eq
       66 (0.0%)      1 (0.0%)  ra_hir_ty::db::infer_wait
       65 (0.0%)     10 (0.0%)  hashbrown::map::HashMap<K,V,S>::insert::{{closure}}
       65 (0.0%)      1 (0.0%)  <ra_mbe::ExpandError as core::clone::Clone>::clone
       65 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::DynTy<I>>::fmt
       65 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::Fn<I>>::fmt
       64 (0.0%)     64 (0.1%)  <T as core::borrow::Borrow<T>>::borrow
       64 (0.0%)     43 (0.1%)  hashbrown::map::HashMap<K,V,S>::get::{{closure}}
       64 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::program_clauses_for_chalk_env
       63 (0.0%)      9 (0.0%)  core::hash::impls::<impl core::hash::Hash for (A,B)>::hash
       63 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::TraitDatum<I> as core::cmp::PartialEq>::eq
       63 (0.0%)      1 (0.0%)  <ra_hir_def::body::Body as core::cmp::PartialEq>::eq
       63 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Enum as core::cmp::PartialEq>::eq
       63 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Union as core::cmp::PartialEq>::eq
       63 (0.0%)      1 (0.0%)  <ra_hir_expand::EagerCallLoc as core::cmp::PartialEq>::eq
       63 (0.0%)      1 (0.0%)  <ra_hir_ty::GenericPredicate as core::hash::Hash>::hash
       63 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::repeat
       63 (0.0%)      1 (0.0%)  hashbrown::raw::RawTable<T>::erase_no_drop
       62 (0.0%)      2 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink_to_fit
       62 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::lang_item
       62 (0.0%)      1 (0.0%)  core::iter::adapters::map_try_fold::{{closure}}
       62 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index
       61 (0.0%)      1 (0.0%)  <indexmap::map::IndexMap<K,V,S> as core::iter::traits::collect::IntoIterator>::into_iter
       61 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroCallKind as core::hash::Hash>::hash
       60 (0.0%)      5 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::with_hasher
       60 (0.0%)      2 (0.0%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
       60 (0.0%)      1 (0.0%)  <ra_ssr::matching::Match as core::fmt::Debug>::fmt
       59 (0.0%)      7 (0.0%)  <alloc::boxed::Box<T> as core::cmp::PartialEq>::eq
       59 (0.0%)      3 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token_tree::{{closure}}
       59 (0.0%)      1 (0.0%)  std::thread::local::fast::Key<T>::try_initialize
       58 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::trait_solve
       58 (0.0%)      1 (0.0%)  <ra_hir_def::nameres::diagnostics::DefDiagnostic as core::cmp::PartialEq>::eq
       58 (0.0%)      1 (0.0%)  core::str::<impl str>::split
       58 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::add_search_pattern
       58 (0.0%)      1 (0.0%)  std::thread::local::fast::Key<T>::get
       57 (0.0%)      2 (0.0%)  <core::iter::LoopState<C,B> as core::ops::try::Try>::into_result
       57 (0.0%)      1 (0.0%)  alloc::raw_vec::RawVec<T>::into_box
       56 (0.0%)      4 (0.0%)  alloc::vec::IntoIter<T>::as_raw_mut_slice
       56 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Guidance as core::clone::Clone>::clone
       56 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::index
       56 (0.0%)      1 (0.0%)  ra_ssr::matching::PlaceholderMatch::new
       55 (0.0%)     17 (0.0%)  <T as alloc::borrow::ToOwned>::to_owned
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabase>::set_crate_graph
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabase>::set_crate_graph_with_durability
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabaseExt>::set_file_text
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabaseExt>::set_file_text_with_durability
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabaseExt>::set_source_root
       55 (0.0%)      1 (0.0%)  <DB as ra_db::SourceDatabaseExt>::set_source_root_with_durability
       55 (0.0%)      1 (0.0%)  <either::Either<L,R> as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  <ra_hir_def::ContainerId as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  <ra_hir_expand::HirFileIdRepr as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroCallId as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::ExprOrPatId as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::AssocTyValue as core::hash::Hash>::hash
       55 (0.0%)      1 (0.0%)  hashbrown::map::HashMap<K,V,S>::remove_entry
       54 (0.0%)      3 (0.0%)  <ra_hir_def::AssocItemLoc<N> as core::cmp::PartialEq>::eq
       54 (0.0%)      3 (0.0%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
       54 (0.0%)      1 (0.0%)  <core::iter::adapters::Peekable<I> as core::iter::traits::iterator::Iterator>::next
       54 (0.0%)      1 (0.0%)  ra_ssr::matching::PlaceholderMatch::from_range
       53 (0.0%)      1 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<T,I>>::from_iter
       53 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Obligation as core::clone::Clone>::clone
       53 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Solution as core::clone::Clone>::clone
       53 (0.0%)      1 (0.0%)  <ra_ssr::parsing::PatternElement as core::clone::Clone>::clone
       53 (0.0%)      1 (0.0%)  <ra_tt::TokenTree as core::clone::Clone>::clone
       53 (0.0%)      1 (0.0%)  <rand::distributions::uniform::UniformInt<usize> as rand::distributions::uniform::UniformSampler>::sample_single
       53 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::AliasEq<I>>::fmt
       53 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::LifetimeOutlives<I>>::fmt
       53 (0.0%)      1 (0.0%)  core::iter::LoopState<<R as core::ops::try::Try>::Ok,R>::from_try
       53 (0.0%)      1 (0.0%)  ra_ssr::SsrMatches::flattened
       52 (0.0%)      3 (0.0%)  <ra_hir_ty::Binders<T> as core::clone::Clone>::clone
       52 (0.0%)      1 (0.0%)  <chalk_ir::AliasTy<I> as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  <chalk_ir::FromEnv<I> as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  <chalk_ir::WellFormed<I> as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  <ra_hir_expand::name::Repr as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Obligation as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  <ra_tt::TokenTree as core::hash::Hash>::hash
       52 (0.0%)      1 (0.0%)  core::iter::range::<impl core::iter::traits::double_ended::DoubleEndedIterator for core::ops::range::Range<A>>::next_back
       52 (0.0%)      1 (0.0%)  ra_ssr::matching::Phase::next_non_trivial
       51 (0.0%)     51 (0.1%)  <salsa::derived::AlwaysMemoizeValue as salsa::derived::MemoizationPolicy<Q>>::should_memoize_value
       51 (0.0%)      1 (0.0%)  <T as alloc::vec::SpecFromElem>::from_elem
       51 (0.0%)      1 (0.0%)  <ra_hir_def::data::ImplData as core::cmp::PartialEq>::eq
       51 (0.0%)      1 (0.0%)  <ra_hir_def::data::StaticData as core::cmp::PartialEq>::eq
       51 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroDefId as core::cmp::PartialEq>::eq
       51 (0.0%)      1 (0.0%)  core::str::<impl str>::is_char_boundary
       51 (0.0%)      1 (0.0%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
       50 (0.0%)      6 (0.0%)  core::iter::traits::iterator::Iterator::map
       50 (0.0%)      4 (0.0%)  core::result::Result<T,E>::is_ok
       50 (0.0%)      2 (0.0%)  alloc::sync::Arc<[T]>::allocate_for_slice
       50 (0.0%)      1 (0.0%)  <alloc::sync::Arc<[T]> as core::convert::From<alloc::vec::Vec<T>>>::from
       50 (0.0%)      1 (0.0%)  <chalk_ir::ImplId<I> as core::fmt::Debug>::fmt
       50 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::find_matches_in_file
       49 (0.0%)     49 (0.1%)  <[T; 2] as smallvec::Array>::size
       49 (0.0%)      7 (0.0%)  <alloc::vec::Vec<T> as core::fmt::Debug>::fmt
       49 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::get
       49 (0.0%)      1 (0.0%)  std::panicking::begin_panic
       48 (0.0%)      8 (0.0%)  <alloc::sync::Arc<T> as core::hash::Hash>::hash
       48 (0.0%)      4 (0.0%)  salsa::plumbing::get_query_table_mut
       48 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::AliasEqBound<I> as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::AssociatedTyDatum<I> as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::ImplDatum<I> as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <ra_hir_def::data::TypeAliasData as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Const as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ItemTree as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Mod as core::cmp::PartialEq>::eq
       48 (0.0%)      1 (0.0%)  <ra_hir_def::nameres::ModuleData as core::cmp::PartialEq>::eq
       47 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::intern_eager_expansion
       47 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::intern_macro
       47 (0.0%)      1 (0.0%)  <hashbrown::raw::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
       47 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::AssocTyValue as core::clone::Clone>::clone
       46 (0.0%)      2 (0.0%)  <indexmap::map::ShortHash<Sz> as core::cmp::PartialEq<indexmap::HashValue>>::eq
       46 (0.0%)      2 (0.0%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
       46 (0.0%)      1 (0.0%)  <chalk_ir::debug::VariableKindsDebug<I> as core::fmt::Debug>::fmt::{{closure}}
       46 (0.0%)      1 (0.0%)  <ra_hir_expand::name::Repr as core::clone::Clone>::clone
       46 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::InEnvironment<T> as core::clone::Clone>::clone
       46 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::ProjectionPredicate as core::clone::Clone>::clone
       46 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_node_children
       46 (0.0%)      1 (0.0%)  text_size::range::TextRange::contains_range
       45 (0.0%)      4 (0.0%)  core::mem::zeroed
       44 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::reserve::{{closure}}
       44 (0.0%)      4 (0.0%)  alloc::sync::Arc<T>::from_ptr
       44 (0.0%)      2 (0.0%)  <core::ops::range::RangeFrom<usize> as core::slice::SliceIndex<[T]>>::index
       44 (0.0%)      1 (0.0%)  core::iter::LoopState<<R as core::ops::try::Try>::Ok,R>::into_try
       44 (0.0%)      1 (0.0%)  parking_lot::raw_rwlock::RawRwLock::try_lock_upgradable_fast
       44 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::new
       44 (0.0%)      1 (0.0%)  smallvec::infallible
       43 (0.0%)      1 (0.0%)  <rowan::cursor::SyntaxToken as core::clone::Clone>::clone
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::GenericArg<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::Lifetime<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::ProgramClause<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::QuantifiedWhereClauses<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::Ty<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Display for chalk_ir::Substitution<I>>::fmt::{{closure}}
       43 (0.0%)      1 (0.0%)  hashbrown::raw::sse2::Group::convert_special_to_empty_and_full_to_deleted
       42 (0.0%)     14 (0.0%)  <ra_hir_expand::ast_id_map::FileAstId<N> as core::cmp::PartialEq>::eq
       42 (0.0%)      6 (0.0%)  <alloc::vec::Vec<T> as core::hash::Hash>::hash
       42 (0.0%)      6 (0.0%)  <ra_hir_def::ItemLoc<N> as core::hash::Hash>::hash
       42 (0.0%)      3 (0.0%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
       42 (0.0%)      2 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink::{{closure}}
       42 (0.0%)      2 (0.0%)  alloc::sync::Arc<[T]>::copy_from_slice
       42 (0.0%)      1 (0.0%)  <chalk_ir::ClausePriority as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_ir::FloatTy as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_ir::Mutability as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_ir::QuantifierKind as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::AdtFlags as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::ImplType as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::Polarity as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <char as core::str::pattern::Pattern>::into_searcher
       42 (0.0%)      1 (0.0%)  <ra_db::input::Edition as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::builtin_type::FloatBitness as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::builtin_type::Signedness as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::expr::LogicOp as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::expr::Ordering as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::type_ref::Mutability as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_hir_def::type_ref::Rawness as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_syntax::ast::expr_extensions::RangeOp as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  <ra_tt::Spacing as core::cmp::PartialEq>::eq
       42 (0.0%)      1 (0.0%)  alloc::raw_vec::alloc_guard
       42 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::Const<I>>::fmt::{{closure}}
       42 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::ProgramClauses<I>>::fmt::{{closure}}
       42 (0.0%)      1 (0.0%)  core::str::<impl str>::find
       42 (0.0%)      1 (0.0%)  core::str::<impl str>::rfind
       40 (0.0%)      2 (0.0%)  <core::ops::range::RangeTo<usize> as core::slice::SliceIndex<[T]>>::index
       40 (0.0%)      1 (0.0%)  <chalk_ir::IntTy as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <chalk_ir::TyKind as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <chalk_ir::UintTy as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::WellKnownTrait as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <core::cmp::Ordering as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <core::result::Result<T,E> as core::clone::Clone>::clone
       40 (0.0%)      1 (0.0%)  <ra_hir_def::builtin_type::IntBitness as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_def::expr::ArithOp as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_def::expr::BindingAnnotation as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_def::generics::TypeParamProvenance as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::StructDefKind as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_expand::builtin_derive::BuiltinDeriveExpander as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_expand::builtin_macro::BuiltinFnLikeExpander as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_expand::builtin_macro::EagerExpander as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_ty::TyKind as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::FnTrait as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_parser::FragmentKind as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_ssr::matching::PlaceholderMatch as core::fmt::Debug>::fmt
       40 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Placeholder as core::fmt::Debug>::fmt
       40 (0.0%)      1 (0.0%)  <ra_syntax::ast::expr_extensions::PrefixOp as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  <ra_tt::DelimiterKind as core::cmp::PartialEq>::eq
       40 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::AdtId<I>>::fmt::{{closure}}
       40 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::AssocTypeId<I>>::fmt::{{closure}}
       40 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::FnDefId<I>>::fmt::{{closure}}
       40 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::TraitId<I>>::fmt::{{closure}}
       39 (0.0%)     13 (0.0%)  <ra_hir_def::item_tree::FileItemTreeId<N> as core::cmp::PartialEq>::eq
       39 (0.0%)     13 (0.0%)  <ra_hir_def::item_tree::FileItemTreeId<N> as core::hash::Hash>::hash
