  Lines           Copies        Function name
     1114 (0.1%)    171 (0.4%)  alloc::sync::Arc<T>::from_inner
     1100 (0.1%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::reserve_one
     1090 (0.1%)    262 (0.6%)  <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
     1068 (0.1%)     89 (0.2%)  salsa::plumbing::get_query_table
     1061 (0.1%)    127 (0.3%)  core::mem::forget
     1056 (0.1%)     17 (0.0%)  hashbrown::raw::RawTable<T>::insert_no_grow
     1054 (0.1%)     17 (0.0%)  <salsa::interned::InternedStorage<Q> as salsa::plumbing::QueryStorageOps<Q>>::try_fetch
     1022 (0.1%)    146 (0.3%)  lock_api::mutex::Mutex<R,T>::guard
     1020 (0.1%)     51 (0.1%)  indexmap::map::Entry<K,V>::index
     1020 (0.1%)     17 (0.0%)  <salsa::interned::Slot<K> as core::fmt::Debug>::fmt
     1012 (0.1%)     46 (0.1%)  smallvec::SmallVecData<A>::from_heap
      988 (0.1%)     52 (0.1%)  <smallvec::SmallVec<A> as core::ops::deref::DerefMut>::deref_mut
      969 (0.1%)     51 (0.1%)  core::ptr::swap
      944 (0.1%)     59 (0.1%)  hashbrown::raw::Bucket<T>::as_ptr
      934 (0.1%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_record_field_list
      918 (0.1%)     51 (0.1%)  salsa::derived::slot::QueryState<Q>::in_progress
      912 (0.1%)    228 (0.5%)  <&T as core::fmt::Debug>::fmt
      898 (0.1%)     22 (0.0%)  hashbrown::raw::Bucket<T>::write
      889 (0.1%)    127 (0.3%)  lock_api::rwlock::RwLock<R,T>::read_guard
      889 (0.1%)    127 (0.3%)  lock_api::rwlock::RwLock<R,T>::write_guard
      888 (0.1%)    280 (0.6%)  alloc::sync::Arc<T>::inner
      883 (0.1%)    197 (0.4%)  core::slice::<impl core::ops::index::Index<I> for [T]>::index
      882 (0.1%)     49 (0.1%)  <salsa::blocking_future::Promise<T> as core::ops::drop::Drop>::drop
      882 (0.1%)      9 (0.0%)  <ra_arena::Idx<T> as core::fmt::Debug>::fmt
      880 (0.1%)     55 (0.1%)  indexmap::util::third
      876 (0.1%)    146 (0.3%)  <lock_api::mutex::MutexGuard<R,T> as core::ops::deref::DerefMut>::deref_mut
      876 (0.1%)    146 (0.3%)  <lock_api::mutex::MutexGuard<R,T> as core::ops::drop::Drop>::drop
      876 (0.1%)    146 (0.3%)  lock_api::mutex::Mutex<R,T>::lock
      868 (0.1%)    124 (0.3%)  <usize as core::slice::SliceIndex<[T]>>::index
      861 (0.1%)    123 (0.3%)  <usize as core::slice::SliceIndex<[T]>>::index_mut
      857 (0.1%)      5 (0.0%)  core::sync::atomic::atomic_compare_exchange_weak
      849 (0.1%)    283 (0.6%)  core::mem::align_of_val
      846 (0.1%)     47 (0.1%)  <smallvec::SmallVec<A> as core::ops::deref::Deref>::deref
      834 (0.1%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_sequences
      825 (0.1%)      1 (0.0%)  ra_ssr::parsing::parse_constraint
      816 (0.1%)     51 (0.1%)  salsa::lru::LruData<Node>::red_zone
      816 (0.1%)     51 (0.1%)  salsa::lru::LruData<Node>::yellow_zone
      810 (0.1%)    135 (0.3%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
      810 (0.1%)    135 (0.3%)  alloc::vec::Vec<T>::reserve
      808 (0.1%)     19 (0.0%)  <core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::next
      807 (0.1%)    399 (0.9%)  core::ptr::unique::Unique<T>::as_ptr
      801 (0.1%)     48 (0.1%)  <alloc::sync::Arc<T> as alloc::sync::ArcEqIdent<T>>::eq
      792 (0.1%)    264 (0.6%)  core::mem::swap
      787 (0.1%)      1 (0.0%)  ra_ssr::parsing::parse_placeholder
      782 (0.1%)     52 (0.1%)  smallvec::SmallVecData<A>::heap
      782 (0.1%)      9 (0.0%)  core::fmt::builders::DebugList::entries
      771 (0.1%)    257 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::add
      770 (0.1%)      4 (0.0%)  <salsa::input::InputStorage<Q> as salsa::plumbing::InputQueryStorageOps<Q>>::set
      765 (0.1%)     51 (0.1%)  <salsa::derived::slot::PanicGuard<Q,MP> as core::ops::drop::Drop>::drop
      765 (0.1%)     51 (0.1%)  core::slice::<impl [T]>::swap
      762 (0.1%)    127 (0.3%)  <lock_api::rwlock::RwLockReadGuard<R,T> as core::ops::deref::Deref>::deref
      762 (0.1%)    127 (0.3%)  <lock_api::rwlock::RwLockReadGuard<R,T> as core::ops::drop::Drop>::drop
      762 (0.1%)    127 (0.3%)  <lock_api::rwlock::RwLockWriteGuard<R,T> as core::ops::deref::DerefMut>::deref_mut
      762 (0.1%)    127 (0.3%)  <lock_api::rwlock::RwLockWriteGuard<R,T> as core::ops::drop::Drop>::drop
      762 (0.1%)    127 (0.3%)  lock_api::rwlock::RwLock<R,T>::read
      762 (0.1%)    127 (0.3%)  lock_api::rwlock::RwLock<R,T>::write
      760 (0.1%)     76 (0.2%)  core::ptr::const_ptr::<impl *const T>::guaranteed_eq
      750 (0.1%)     19 (0.0%)  core::slice::Iter<T>::post_inc_start
      747 (0.1%)    177 (0.4%)  core::slice::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
      742 (0.1%)     69 (0.2%)  core::ops::function::FnOnce::call_once
      737 (0.1%)     67 (0.1%)  <alloc::vec::Vec<A> as core::cmp::PartialEq<alloc::vec::Vec<B>>>::eq
      736 (0.1%)     46 (0.1%)  smallvec::SmallVecData<A>::from_inline
      735 (0.1%)     21 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::cmp::PartialEq>::eq
      732 (0.1%)     61 (0.1%)  alloc::vec::Vec<T>::with_capacity
      731 (0.1%)     17 (0.0%)  salsa::interned::InternedStorage<Q>::lookup_value
      729 (0.1%)      1 (0.0%)  alloc::str::join_generic_copy
      714 (0.1%)     51 (0.1%)  salsa::lru::LruData<Node>::green_zone
      712 (0.1%)     89 (0.2%)  salsa::QueryTable<Q>::new
      690 (0.1%)     46 (0.1%)  smallvec::deallocate
      672 (0.1%)      5 (0.0%)  hashbrown::map::HashMap<K,V,S>::insert
      660 (0.1%)     55 (0.1%)  alloc::raw_vec::RawVec<T,A>::try_reserve_exact
      644 (0.0%)     46 (0.1%)  parking_lot::condvar::Condvar::wait
      643 (0.0%)      1 (0.0%)  <rowan::api::SyntaxNode<L> as core::fmt::Debug>::fmt
      637 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token
      635 (0.0%)    376 (0.8%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::DerefMut>::deref_mut
      630 (0.0%)     45 (0.1%)  hashbrown::raw::RawTable<T>::probe_seq
